name,blurb,goal,slug,disable_communication,country,deadline,state_changed_at,created_at,launched_at,staff_pick,backers_count,category,urls,deadline_weekday,state_changed_at_weekday,created_at_weekday,launched_at_weekday,deadline_month,deadline_day,deadline_hr,state_changed_at_month,state_changed_at_day,state_changed_at_hr,created_at_month,created_at_day,created_at_hr,launched_at_month,launched_at_day,launched_at_hr,create_to_launch,launch_to_deadline,launch_to_state_change,create_to_launch_days,launch_to_deadline_days,launch_to_state_change_days,SuccessfulBool,USorGB,TOPCOUNTRY,LaunchedTuesday,DeadlineWeekend
Help Milburn Stone Fly High With TARZAN The Musical,"The Milburn Stone Theatre needs your help to bring its high-flying next blockbuster musical, TARZAN, to life!",5000.0,help-milburn-stone-fly-high-with-tarzan-the-musica,False,US,9/6/2014 16:00,9/6/2014 16:00,8/6/2014 14:32,8/7/2014 13:16,False,53,Musical,"{""web"":{""project"":""https://www.kickstarter.com/projects/milburnstone/help-milburn-stone-fly-high-with-tarzan-the-musica?ref=category"",""rewards"":""https://www.kickstarter.com/projects/milburnstone/help-milburn-stone-fly-high-with-tarzan-the-musica/rewards""}}",Saturday,Saturday,Wednesday,Thursday,9,6,16,9,6,16,8,6,14,8,7,13,0 days 22:44:14.000000000,30 days 02:43:02.000000000,30 days 02:43:12.000000000,0,30,30,0,1,1,0,1
ReCharge! Cell Phone Charging Network,Out and about?  Phone dying?  Don't panic!  Come in and use   our simple chargers to CHARGE UP at any participating ReCharge location!,20000.0,recharge-cell-phone-charging-network,False,US,4/4/2015 14:00,4/4/2015 14:00,2/18/2015 15:16,3/5/2015 14:00,False,0,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/1667613972/recharge-cell-phone-charging-network?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1667613972/recharge-cell-phone-charging-network/rewards""}}",Saturday,Saturday,Wednesday,Thursday,4,4,14,4,4,14,2,18,15,3,5,14,14 days 22:44:03.000000000,30 days 00:00:00.000000000,30 days 00:00:10.000000000,14,30,30,0,1,1,0,1
IdeaShute,A internet software that will assist people with new ideas by providing them with proper easy steps to make them into reality.,10000.0,ideashute,False,US,5/4/2016 12:25,5/4/2016 12:25,4/2/2016 3:19,4/4/2016 12:25,False,2,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/1440190685/ideashute?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1440190685/ideashute/rewards""}}",Wednesday,Wednesday,Saturday,Monday,5,4,12,5,4,12,4,2,3,4,4,12,2 days 09:06:13.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,2,30,30,0,1,1,0,0
Lynnewood Hall Restoration (Canceled),"Built in the late 1800's, this 70K sq. feet estate has fallen into disrepair.  Seeking to buy and convert to useful space",30000000.0,lynnewood-hall-restoration,False,US,9/11/2014 13:10,8/27/2014 16:37,8/12/2014 8:48,8/12/2014 13:10,False,0,Spaces,"{""web"":{""project"":""https://www.kickstarter.com/projects/1507692024/lynnewood-hall-restoration?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1507692024/lynnewood-hall-restoration/rewards""}}",Thursday,Wednesday,Tuesday,Tuesday,9,11,13,8,27,16,8,12,8,8,12,13,0 days 04:22:23.000000000,30 days 00:00:00.000000000,15 days 03:26:48.000000000,0,30,15,0,1,1,1,0
Aqua-View: Your Robotic Connection To An Underwater World!,How would you like a first person view into our amazing underwater world or the aquarium in your own living room? Now its possible.,30000.0,aqua-view-your-robotic-connection-to-an-underwater,False,US,9/20/2014 13:22,9/20/2014 13:22,7/13/2014 21:42,7/22/2014 13:22,False,4,Robots,"{""web"":{""project"":""https://www.kickstarter.com/projects/965198042/aqua-view-your-robotic-connection-to-an-underwater?ref=category"",""rewards"":""https://www.kickstarter.com/projects/965198042/aqua-view-your-robotic-connection-to-an-underwater/rewards""}}",Saturday,Saturday,Sunday,Tuesday,9,20,13,9,20,13,7,13,21,7,22,13,8 days 15:40:16.000000000,60 days 00:00:00.000000000,60 days 00:00:00.000000000,8,60,60,0,1,1,1,1
Syntheto,"The ultimate collaboration tool, powering crowd creation",500000.0,syntheto,False,US,6/3/2015 10:21,6/3/2015 10:21,5/1/2015 16:56,5/4/2015 10:21,False,3,Apps,"{""web"":{""project"":""https://www.kickstarter.com/projects/1944959808/syntheto?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1944959808/syntheto/rewards""}}",Wednesday,Wednesday,Friday,Monday,6,3,10,6,3,10,5,1,16,5,4,10,2 days 17:25:54.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,2,30,30,0,1,1,0,0
TheVDOCK: The World's first Cell Phone holder Body Grips,The VDOCK is the World's first line of Cell Phone holders that uses Magnets for the body and can be hidden under clothing.,4500.0,thevdock-cell-phone-accessories-thats-never-been-s,False,US,3/22/2016 11:27,3/12/2016 18:03,2/20/2016 9:43,2/23/2016 11:27,False,4,Wearables,"{""web"":{""project"":""https://www.kickstarter.com/projects/700775156/thevdock-cell-phone-accessories-thats-never-been-s?ref=category"",""rewards"":""https://www.kickstarter.com/projects/700775156/thevdock-cell-phone-accessories-thats-never-been-s/rewards""}}",Tuesday,Saturday,Saturday,Tuesday,3,22,11,3,12,18,2,20,9,2,23,11,3 days 01:44:11.000000000,28 days 00:00:00.000000000,18 days 06:35:30.000000000,3,28,18,0,1,1,1,0
PUGZ-World's smallest wireless earbuds charged through phone,World's smallest wireless earbuds charged through your phone! Minimal size & shape allows perfect fit and music experience!,50000.0,pugz-worlds-smallest-wireless-earbuds-you-charge-w,False,US,10/8/2015 17:00,10/8/2015 17:00,4/30/2015 13:18,8/26/2015 5:21,True,10119,Wearables,"{""web"":{""project"":""https://www.kickstarter.com/projects/pugz/pugz-worlds-smallest-wireless-earbuds-you-charge-w?ref=category"",""rewards"":""https://www.kickstarter.com/projects/pugz/pugz-worlds-smallest-wireless-earbuds-you-charge-w/rewards""}}",Thursday,Thursday,Thursday,Wednesday,10,8,17,10,8,17,4,30,13,8,26,5,117 days 16:03:15.000000000,43 days 11:38:39.000000000,43 days 11:38:50.000000000,117,43,43,1,1,1,0,0
The Creative Terminal NJ,"In New Jersey, Creative spaces are few and far between. With only a handful in NJ, our goal is to open a space on the Jersey Shore.",50000.0,the-creative-terminal-nj,False,US,8/29/2015 11:12,8/29/2015 11:12,7/28/2015 11:59,7/30/2015 11:12,False,0,Makerspaces,"{""web"":{""project"":""https://www.kickstarter.com/projects/11258179/the-creative-terminal-nj?ref=category"",""rewards"":""https://www.kickstarter.com/projects/11258179/the-creative-terminal-nj/rewards""}}",Saturday,Saturday,Tuesday,Thursday,8,29,11,8,29,11,7,28,11,7,30,11,1 days 23:12:35.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,1,30,30,0,1,1,0,1
IMI - It's My Identity (Canceled),A website that could group all your social 'identities' and online property together and find new followers or creators to follow,1000.0,imi-its-my-identity,False,IT,1/17/2016 17:00,12/15/2015 18:50,12/1/2015 20:28,12/8/2015 11:40,False,0,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/4nerdsgames/imi-its-my-identity?ref=category"",""rewards"":""https://www.kickstarter.com/projects/4nerdsgames/imi-its-my-identity/rewards""}}",Sunday,Tuesday,Tuesday,Tuesday,1,17,17,12,15,18,12,1,20,12,8,11,6 days 15:11:58.000000000,40 days 05:19:35.000000000,7 days 07:09:52.000000000,6,40,7,0,0,0,1,1
Fithit - hit the perfect place for you to get fit!,A free website and app that allows users to customize their gym search in order to find the perfect gym for their needs.,400000.0,fithit-hit-the-perfect-place-for-you-to-get-fit,False,NO,12/2/2014 13:16,11/16/2014 16:36,10/17/2014 15:57,10/23/2014 13:16,False,0,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/712604084/fithit-hit-the-perfect-place-for-you-to-get-fit?ref=category"",""rewards"":""https://www.kickstarter.com/projects/712604084/fithit-hit-the-perfect-place-for-you-to-get-fit/rewards""}}",Tuesday,Sunday,Friday,Thursday,12,2,13,11,16,16,10,17,15,10,23,13,5 days 21:19:16.000000000,40 days 00:00:00.000000000,24 days 03:20:28.000000000,5,40,24,0,0,0,0,0
The Inventor's Journeyâ¢- Save the world of Invention!,The Inventorâs Journeyâ¢ is an educational tool that protects inventors from the dangers of the so-called 'invention help' industry,3000.0,the-inventors-journey-save-the-world-of-invention,False,GB,12/18/2015 10:45,12/18/2015 10:45,11/24/2015 10:45,11/25/2015 19:43,False,8,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1927066689/the-inventors-journey-save-the-world-of-invention?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1927066689/the-inventors-journey-save-the-world-of-invention/rewards""}}",Friday,Friday,Tuesday,Wednesday,12,18,10,12,18,10,11,24,10,11,25,19,1 days 08:57:47.000000000,22 days 15:01:30.000000000,22 days 15:01:32.000000000,1,22,22,0,1,1,0,0
LED CAVE - LED Controlling Audio Visualizing Equalizer,Tone reactive RGB LED Strip Controller.   LED's react according to the level of Bass or Treble rather than just typical noise level.,6500.0,led-cave-led-controlling-audio-visualizing-equaliz,False,US,2/10/2015 14:42,2/5/2015 19:30,1/2/2015 15:37,1/11/2015 14:42,False,5,,"{""web"":{""project"":""https://www.kickstarter.com/projects/1265808514/led-cave-led-controlling-audio-visualizing-equaliz?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1265808514/led-cave-led-controlling-audio-visualizing-equaliz/rewards""}}",Tuesday,Thursday,Friday,Sunday,2,10,14,2,5,19,1,2,15,1,11,14,8 days 23:04:30.000000000,30 days 00:00:00.000000000,25 days 04:47:58.000000000,8,30,25,0,1,1,0,0
HAPPY MORNING.Time to Change!To Safe & GermFree ECO-SHAVING,"HAPPY MORNING. Time to Change! To Clean, Safe and  GermFree ECO-SHAVING. Everyday actions that help saving our natural resources.",20000.0,happy-morningtime-to-changeto-safe-and-germfree-ec,False,IT,11/27/2015 13:52,11/27/2015 13:52,10/12/2015 23:49,10/27/2015 13:52,False,11,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/39184522/happy-morningtime-to-changeto-safe-and-germfree-ec?ref=category"",""rewards"":""https://www.kickstarter.com/projects/39184522/happy-morningtime-to-changeto-safe-and-germfree-ec/rewards""}}",Friday,Friday,Monday,Tuesday,11,27,13,11,27,13,10,12,23,10,27,13,14 days 14:02:57.000000000,31 days 00:00:00.000000000,31 days 00:00:00.000000000,14,31,31,0,0,0,1,0
MANGOAPP.IO the new website development and hosting platform,We are building the best website development and hosting platform in the world!,10000.0,mangoappio-the-new-website-development-and-hosting,False,NL,12/27/2016 5:57,12/27/2016 5:57,11/3/2016 0:47,11/27/2016 5:57,False,6,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/959969728/mangoappio-the-new-website-development-and-hosting?ref=category"",""rewards"":""https://www.kickstarter.com/projects/959969728/mangoappio-the-new-website-development-and-hosting/rewards""}}",Tuesday,Tuesday,Thursday,Sunday,12,27,5,12,27,5,11,3,0,11,27,5,24 days 05:09:38.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,24,30,30,0,0,0,0,0
Less than lethal Drone (crowd control drone),our drone can able the operator (military/law) to solve dangerous situations without been in danger and without lethal force.,35000.0,less-than-lethal-drone-crowd-control-drone,False,NL,12/12/2014 20:44,12/12/2014 20:45,11/11/2014 18:48,11/12/2014 20:44,False,0,Flight,"{""web"":{""project"":""https://www.kickstarter.com/projects/617007741/less-than-lethal-drone-crowd-control-drone?ref=category"",""rewards"":""https://www.kickstarter.com/projects/617007741/less-than-lethal-drone-crowd-control-drone/rewards""}}",Friday,Friday,Tuesday,Wednesday,12,12,20,12,12,20,11,11,18,11,12,20,1 days 01:55:37.000000000,30 days 00:00:00.000000000,30 days 00:00:45.000000000,1,30,30,0,0,0,0,0
Decentralize the pokes with OpenPoke,"OpenPoke â the web's first open, distributed and secure poking platform",10000.0,decentralize-the-pokes-with-openpoke,False,US,5/2/2011 1:37,5/2/2011 1:37,4/1/2011 0:20,4/2/2011 1:37,False,0,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/586284656/decentralize-the-pokes-with-openpoke?ref=category"",""rewards"":""https://www.kickstarter.com/projects/586284656/decentralize-the-pokes-with-openpoke/rewards""}}",Monday,Monday,Friday,Saturday,5,2,1,5,2,1,4,1,0,4,2,1,1 days 01:17:11.000000000,30 days 00:00:00.000000000,30 days 00:00:02.000000000,1,30,30,0,1,1,0,0
Space Transportation System - the next generation.,This project is about a dream. A crazy large dream. A new way to access space. Without rocketry. Beyond rocketry. Via gravity control.,8450000.0,space-access-like-never-seen-before-the-what-if-fa,False,US,9/23/2015 10:04,9/23/2015 10:04,7/27/2015 4:33,7/27/2015 10:04,False,7,,"{""web"":{""project"":""https://www.kickstarter.com/projects/cattier/space-access-like-never-seen-before-the-what-if-fa?ref=category"",""rewards"":""https://www.kickstarter.com/projects/cattier/space-access-like-never-seen-before-the-what-if-fa/rewards""}}",Wednesday,Wednesday,Monday,Monday,9,23,10,9,23,10,7,27,4,7,27,10,0 days 05:30:28.000000000,58 days 00:00:00.000000000,58 days 00:00:01.000000000,0,58,58,0,1,1,0,0
VT-SMART: Action Video from the skies! And much much more...,VT-SMART is a UAV capable of taking video from a birds eye perspective. From take off and obstacle avoidance to landing.,10000.0,vt-smart-action-video-from-the-skies-and-much-much,False,US,9/21/2014 14:10,9/21/2014 14:10,7/1/2014 22:13,8/22/2014 14:10,False,1,,"{""web"":{""project"":""https://www.kickstarter.com/projects/1449590219/vt-smart-action-video-from-the-skies-and-much-much?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1449590219/vt-smart-action-video-from-the-skies-and-much-much/rewards""}}",Sunday,Sunday,Tuesday,Friday,9,21,14,9,21,14,7,1,22,8,22,14,51 days 15:56:34.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,51,30,30,0,1,1,0,1
Brewbot: The Smart Brewing Appliance,Smart technology meets brewing. Now anyone can brew high quality craft beers using their smartphone.,100000.0,brewbot-the-smart-brewing-appliance,False,GB,10/22/2013 12:16,10/22/2013 12:16,7/9/2013 7:07,9/21/2013 12:16,True,381,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/cargo/brewbot-the-smart-brewing-appliance?ref=category"",""rewards"":""https://www.kickstarter.com/projects/cargo/brewbot-the-smart-brewing-appliance/rewards""}}",Tuesday,Tuesday,Tuesday,Saturday,10,22,12,10,22,12,7,9,7,9,21,12,74 days 05:08:54.000000000,31 days 00:00:00.000000000,31 days 00:00:00.000000000,74,31,31,1,1,1,0,0
Fr33Bay for Aussies,eBay's accusation of Gumtree has led to ridicules fees for users wanting to sell their treasures. It's time to FIX this with Fr33Bay.,600.0,fr33bay-for-aussies,False,AU,10/4/2014 5:01,10/4/2014 5:01,9/1/2014 5:46,9/4/2014 5:01,False,0,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/753868002/fr33bay-for-aussies?ref=category"",""rewards"":""https://www.kickstarter.com/projects/753868002/fr33bay-for-aussies/rewards""}}",Saturday,Saturday,Monday,Thursday,10,4,5,10,4,5,9,1,5,9,4,5,2 days 23:15:13.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,2,30,30,0,0,0,0,1
Help Save High School Theater,"Help Save High School Theater Program
Your donations will be used to purchase props, build sets, and costumes.",150.0,help-save-high-school-theater,False,US,7/30/2014 15:53,7/30/2014 15:53,6/12/2014 7:51,6/30/2014 15:53,False,3,Plays,"{""web"":{""project"":""https://www.kickstarter.com/projects/murdershow/help-save-high-school-theater?ref=category"",""rewards"":""https://www.kickstarter.com/projects/murdershow/help-save-high-school-theater/rewards""}}",Wednesday,Wednesday,Thursday,Monday,7,30,15,7,30,15,6,12,7,6,30,15,18 days 08:02:12.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,18,30,30,0,1,1,0,0
The Pancake Printer,This machine prints pancakes in shapes drawn on a touchscreen. This version works well but we hope to 3D print it with these earnings.,500.0,the-pancake-printer,False,US,3/1/2015 13:27,3/1/2015 13:27,1/30/2015 10:29,1/30/2015 13:27,True,26,Robots,"{""web"":{""project"":""https://www.kickstarter.com/projects/1175045967/the-pancake-printer?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1175045967/the-pancake-printer/rewards""}}",Sunday,Sunday,Friday,Friday,3,1,13,3,1,13,1,30,10,1,30,13,0 days 02:57:47.000000000,30 days 00:00:00.000000000,30 days 00:00:03.000000000,0,30,30,1,1,1,0,1
Help Carers and the Disabled,"As the farther of a disabled child myself, i know how hard it is to find places that offer free or reduced admission for carers",50000.0,help-carers-and-the-disabled,False,GB,9/18/2015 16:26,9/18/2015 16:26,7/13/2015 16:08,7/20/2015 16:26,False,2,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1313646231/help-carers-and-the-disabled?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1313646231/help-carers-and-the-disabled/rewards""}}",Friday,Friday,Monday,Monday,9,18,16,9,18,16,7,13,16,7,20,16,7 days 00:17:44.000000000,60 days 00:00:00.000000000,60 days 00:00:01.000000000,7,60,60,0,1,1,0,0
Wireless Ultrasonic Leash for Pets,"Wireless leash that keeps pets untangled, and also keeps you and pets safe from wild animals.",100000.0,wireless-ultrasonic-leash-for-pets,False,US,2/20/2015 20:08,2/20/2015 20:08,1/13/2015 12:33,1/21/2015 20:08,False,6,Wearables,"{""web"":{""project"":""https://www.kickstarter.com/projects/2010816129/wireless-ultrasonic-leash-for-pets?ref=category"",""rewards"":""https://www.kickstarter.com/projects/2010816129/wireless-ultrasonic-leash-for-pets/rewards""}}",Friday,Friday,Tuesday,Wednesday,2,20,20,2,20,20,1,13,12,1,21,20,8 days 07:34:33.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,8,30,30,0,1,1,0,0
Adore Your Walls,Adore Your Walls is an online art advisory service that helps people find art that they love for any budget and space.,8000.0,adore-your-walls,False,US,3/6/2015 23:45,3/6/2015 23:45,1/26/2015 18:03,2/8/2015 23:29,False,132,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1890734535/adore-your-walls?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1890734535/adore-your-walls/rewards""}}",Friday,Friday,Monday,Sunday,3,6,23,3,6,23,1,26,18,2,8,23,13 days 05:25:50.000000000,26 days 00:15:47.000000000,26 days 00:16:01.000000000,13,26,26,1,1,1,0,0
cqrs for akk.net,"Open sourced, enterprise grade tooling and frameworks for simplified, scalable development of CQRS project with akka.net.",10000.0,cqrs-for-akknet,False,NZ,3/11/2016 19:35,3/11/2016 19:35,2/21/2016 16:34,2/25/2016 19:35,False,0,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/chinchilla-software/cqrs-for-akknet?ref=category"",""rewards"":""https://www.kickstarter.com/projects/chinchilla-software/cqrs-for-akknet/rewards""}}",Friday,Friday,Sunday,Thursday,3,11,19,3,11,19,2,21,16,2,25,19,4 days 03:01:08.000000000,15 days 00:00:00.000000000,15 days 00:00:02.000000000,4,15,15,0,0,1,0,0
Stepperature: Open Source Quadrature Hand Wheel,"Stepperature is a DIY, Open Hardware, Manual Pulse Generator (Quadrature) hand wheel interface for CNC, audio, or other projects.",1000.0,stepperature-open-source-quadrature-hand-wheel,False,US,4/6/2013 19:03,4/6/2013 19:03,11/6/2012 14:41,3/7/2013 19:03,False,107,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/1375236253/stepperature-open-source-quadrature-hand-wheel?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1375236253/stepperature-open-source-quadrature-hand-wheel/rewards""}}",Saturday,Saturday,Tuesday,Thursday,4,6,19,4,6,19,11,6,14,3,7,19,121 days 04:22:11.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,121,30,30,1,1,1,0,1
16-Port (2.4 Amps per port) USB iPad/iPhone Charging Station,"Universal 16 ports (192 Watt) Charging Station for Apple, Android & other USB Devices. Intelligent Detection for Fastest Charging.",10000.0,16-port-24-amps-per-port-usb-ipad-iphone-charging,False,US,12/3/2015 7:57,12/3/2015 7:57,10/23/2015 8:03,11/3/2015 7:57,False,73,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/289714940/16-port-24-amps-per-port-usb-ipad-iphone-charging?ref=category"",""rewards"":""https://www.kickstarter.com/projects/289714940/16-port-24-amps-per-port-usb-ipad-iphone-charging/rewards""}}",Thursday,Thursday,Friday,Tuesday,12,3,7,12,3,7,10,23,8,11,3,7,10 days 23:53:51.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,10,30,30,1,1,1,1,0
"Sobleep - Internet on your phone, offline","Perfect for the traveler and whoever wants to be connected at all times, when a good and cheap connection is not available",15000.0,sobleep-internet-on-your-phone-without-connection,False,GB,8/12/2015 3:49,8/12/2015 3:49,3/29/2015 10:15,6/23/2015 3:49,False,11,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/683648952/sobleep-internet-on-your-phone-without-connection?ref=category"",""rewards"":""https://www.kickstarter.com/projects/683648952/sobleep-internet-on-your-phone-without-connection/rewards""}}",Wednesday,Wednesday,Sunday,Tuesday,8,12,3,8,12,3,3,29,10,6,23,3,85 days 17:34:28.000000000,50 days 00:00:00.000000000,50 days 00:00:00.000000000,85,50,50,0,1,1,1,0
Thermoco: Coin size smart thermometer and recorder,"Monitor temperature from your smart phone.
Measure and record room, fridge, cooler, camping tent, body temperature and much more.",10000.0,thermoco-coin-size-smart-thermometer-and-recorder,False,US,1/16/2016 12:04,1/16/2016 12:04,11/16/2015 14:45,11/17/2015 12:04,False,998,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/1309712609/thermoco-coin-size-smart-thermometer-and-recorder?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1309712609/thermoco-coin-size-smart-thermometer-and-recorder/rewards""}}",Saturday,Saturday,Monday,Tuesday,1,16,12,1,16,12,11,16,14,11,17,12,0 days 21:19:06.000000000,60 days 00:00:00.000000000,60 days 00:00:00.000000000,0,60,60,1,1,1,1,1
Daily Angels,Feel good by helping each other.,65000.0,daily-angels,False,US,4/16/2015 0:00,4/16/2015 0:00,2/28/2015 13:13,3/7/2015 0:00,False,1,Apps,"{""web"":{""project"":""https://www.kickstarter.com/projects/123688425/daily-angels?ref=category"",""rewards"":""https://www.kickstarter.com/projects/123688425/daily-angels/rewards""}}",Thursday,Thursday,Saturday,Saturday,4,16,0,4,16,0,2,28,13,3,7,0,6 days 10:47:07.000000000,40 days 00:00:00.000000000,40 days 00:00:04.000000000,6,40,40,0,1,1,0,0
Spottr | Smarter Monitoring for Shared Data Plans,"Cellular providers make it too difficult to monitor shared plans. We're here to fix that with a beautiful, real-time app.",20000.0,spottr-a-better-way-to-monitor-shared-data-plans,False,US,1/8/2015 9:18,1/8/2015 9:18,11/12/2014 10:35,12/9/2014 9:18,False,28,Apps,"{""web"":{""project"":""https://www.kickstarter.com/projects/1441106541/spottr-a-better-way-to-monitor-shared-data-plans?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1441106541/spottr-a-better-way-to-monitor-shared-data-plans/rewards""}}",Thursday,Thursday,Wednesday,Tuesday,1,8,9,1,8,9,11,12,10,12,9,9,26 days 22:43:10.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,26,30,30,0,1,1,1,0
Parkis - bicycle parking solution,Parkis - a unique mechanical bicycle lift for parking bicycles in small spaces.,50000.0,parkis,False,BE,11/9/2015 0:13,11/9/2015 0:13,8/10/2015 12:46,9/25/2015 0:13,False,10,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/277601164/parkis?ref=category"",""rewards"":""https://www.kickstarter.com/projects/277601164/parkis/rewards""}}",Monday,Monday,Monday,Friday,11,9,0,11,9,0,8,10,12,9,25,0,45 days 11:27:26.000000000,45 days 00:00:00.000000000,45 days 00:00:00.000000000,45,45,45,0,0,0,0,0
"AiwaJuice All-in-One power bank for Macbook, PCs and phones",AiwaJuice is a power bank which gives you up to 8 hours more of power for your battery life on your Macbook and your phone.,125000.0,aiwajuice-power-bank-for-macbook,False,NL,12/13/2014 23:37,11/15/2014 10:57,11/4/2014 22:20,11/13/2014 23:37,False,4,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/481441181/aiwajuice-power-bank-for-macbook?ref=category"",""rewards"":""https://www.kickstarter.com/projects/481441181/aiwajuice-power-bank-for-macbook/rewards""}}",Saturday,Saturday,Tuesday,Thursday,12,13,23,11,15,10,11,4,22,11,13,23,9 days 01:17:10.000000000,30 days 00:00:00.000000000,1 days 11:19:38.000000000,9,30,1,0,0,0,0,1
Android Workbench,"Retired people can program.  I want to provide a workbench where they can build smart phone apps ""per request"" or just play around.",5000.0,android-workbench,False,US,9/30/2014 14:00,9/30/2014 14:01,8/28/2014 12:30,9/17/2014 15:24,False,0,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/1522258983/android-workbench?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1522258983/android-workbench/rewards""}}",Tuesday,Tuesday,Thursday,Wednesday,9,30,14,9,30,14,8,28,12,9,17,15,20 days 02:53:53.000000000,12 days 22:35:40.000000000,12 days 22:37:10.000000000,20,12,12,0,1,1,0,0
X5CMS: CMS for HTML Websites,Automatically add a cms to any html website.,5000.0,x5cms-cms-for-html-websites,False,GB,7/11/2014 9:02,7/11/2014 9:02,5/23/2014 3:22,6/11/2014 9:02,False,2,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1250638210/x5cms-cms-for-html-websites?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1250638210/x5cms-cms-for-html-websites/rewards""}}",Friday,Friday,Friday,Wednesday,7,11,9,7,11,9,5,23,3,6,11,9,19 days 05:40:06.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,19,30,30,0,1,1,0,0
Runners to the Rescue,"Run a race anywhere, anytime, against anybody. A fundraising phone app to help you raise money!",50000.0,runners-to-the-rescue,False,US,8/31/2014 22:59,8/31/2014 22:59,7/6/2014 18:09,7/21/2014 17:20,False,3,Apps,"{""web"":{""project"":""https://www.kickstarter.com/projects/337664405/runners-to-the-rescue?ref=category"",""rewards"":""https://www.kickstarter.com/projects/337664405/runners-to-the-rescue/rewards""}}",Sunday,Sunday,Sunday,Monday,8,31,22,8,31,22,7,6,18,7,21,17,14 days 23:11:45.000000000,41 days 05:38:07.000000000,41 days 05:38:08.000000000,14,41,41,0,1,1,0,1
Student outfoldeble bathroom - At proto stage,"A outfoldable bathroom to small college rooms so that every person, living in a small college room could have their own bath.",100000.0,student-outfoldeble-bathroom-at-proto-stage,False,DK,12/4/2015 7:36,12/4/2015 7:36,10/27/2015 7:22,11/4/2015 7:36,False,0,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/1192014712/student-outfoldeble-bathroom-at-proto-stage?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1192014712/student-outfoldeble-bathroom-at-proto-stage/rewards""}}",Friday,Friday,Tuesday,Wednesday,12,4,7,12,4,7,10,27,7,11,4,7,8 days 00:13:49.000000000,30 days 00:00:00.000000000,30 days 00:00:02.000000000,8,30,30,0,0,0,0,0
Balm in Gilead - Columbia University (Canceled),"We are raising money to allow for enhanced scenic, costume, and lighting design. Every dollar is appreciated!",200.0,balm-in-gilead-columbia-university,False,US,4/17/2016 16:30,4/6/2016 13:45,4/4/2016 18:06,4/5/2016 16:08,False,1,Plays,"{""web"":{""project"":""https://www.kickstarter.com/projects/893543143/balm-in-gilead-columbia-university?ref=category"",""rewards"":""https://www.kickstarter.com/projects/893543143/balm-in-gilead-columbia-university/rewards""}}",Sunday,Wednesday,Monday,Tuesday,4,17,16,4,6,13,4,4,18,4,5,16,0 days 22:01:56.000000000,12 days 00:21:25.000000000,0 days 21:36:29.000000000,0,12,0,0,1,1,1,1
